text,label
"I loved every minute of this movie and the cast was excellent.",positive
"A boring script with weak acting and no emotional impact.",negative
"The story was touching and the ending was beautiful.",positive
"This film was painfully slow and completely predictable.",negative
"Brilliant direction, strong soundtrack, and outstanding performances.",positive
"I could not connect with any character in this disappointing movie.",negative
"An inspiring and well written movie that kept me engaged.",positive
"The pacing was terrible and the dialogue felt artificial.",negative
"A powerful drama with memorable scenes and great chemistry.",positive
"Poor editing and confusing storytelling ruined the experience.",negative
"Smart plot twists and a very satisfying final act.",positive
"It looked cheap and the plot made no sense.",negative
"One of the best films I have seen this year.",positive
"The actors seemed unprepared and the movie felt unfinished.",negative
"Great cinematography and a script full of emotion.",positive
"Too long, repetitive, and not worth the watch.",negative
"I was impressed by the character development and pacing.",positive
"The movie failed to deliver on every promise in the trailer.",negative
"Excellent performances and a script that respects the audience.",positive
"Flat characters and a storyline full of cliches.",negative
"A fun and emotional experience from start to finish.",positive
"The jokes did not work and the scenes dragged forever.",negative
"The movie is creative, warm, and genuinely entertaining.",positive
"Bad sound design and unconvincing acting made it hard to watch.",negative
